E,F,G,H
133,41,825,0.14666666666666667
43,-27,6164,0.7282608695652174
105,5,825,1.32
101,37,8415,0.8585858585858586
127,65,2829,1.6829268292682926
93,-83,1652,2.107142857142857
137,13,864,0.2962962962962963
146,-30,59,59.0
17,-1,644,0.30434782608695654
98,50,6417,0.7419354838709677
95,29,2220,0.40540540540540543
41,-9,504,3.5
91,-67,710,7.1
104,22,1260,1.6071428571428572
84,-6,828,10.222222222222221
90,-16,4312,1.375
145,-9,6188,1.338235294117647
65,39,637,0.07692307692307693
91,-9,1105,3.823529411764706
94,-64,4810,0.8783783783783784
39,-13,4968,1.7037037037037037
103,-75,693,14.142857142857142
45,21,33,0.030303030303030304
23,15,1539,4.2631578947368425
59,-47,8649,1.0
103,-49,1140,3.1578947368421053
151,-29,1704,2.9583333333333335
61,-19,5148,1.9038461538461537
166,-30,7826,1.058139534883721
114,30,6020,0.813953488372093
89,25,1980,4.090909090909091
13,-11,272,0.058823529411764705
95,7,3922,1.3962264150943395
123,-33,4361,0.550561797752809
123,21,96,2.6666666666666665
120,-20,882,4.5
113,-33,5358,1.6491228070175439
6,0,3953,0.8805970149253731
133,-39,1007,2.789473684210526
127,-37,1440,1.1111111111111112
56,-32,234,0.34615384615384615
89,71,1600,0.64
69,-49,1736,0.45161290322580644
80,-70,188,0.02127659574468085
29,17,2116,0.25
98,54,2068,0.23404255319148937
79,21,8439,1.1149425287356323
57,53,6156,1.0657894736842106
72,-58,2356,0.6129032258064516
34,24,2760,3.066666666666667
35,7,154,0.025974025974025976
91,-31,2288,1.1818181818181819
75,31,1162,0.1686746987951807
185,-1,4672,1.140625
45,41,1292,0.8947368421052632
143,27,855,3.8
109,41,8556,0.989247311827957
56,-26,632,9.875
110,38,836,0.5789473684210527
173,19,1300,2.08
138,-24,385,15.4
113,49,1368,0.42105263157894735
132,50,1742,0.3880597014925373
134,-52,1652,2.107142857142857
128,-12,6175,1.4615384615384615
156,38,4814,1.4310344827586208
106,-78,378,0.5185185185185185
89,-9,4030,0.9538461538461539
189,9,2975,2.4285714285714284
46,-16,936,2.888888888888889
41,31,623,12.714285714285714
145,-33,4484,0.7763157894736842
78,44,2581,0.3258426966292135
141,53,4087,1.098360655737705
81,67,7216,1.0731707317073171
153,-5,27,3.0
23,9,2925,0.6923076923076923
164,-18,5451,0.8734177215189873
115,-5,540,0.26666666666666666
29,15,2813,0.29896907216494845
90,82,6966,1.0617283950617284
106,-14,3136,0.765625
152,24,6083,0.9746835443037974
145,-19,180,45.0
154,38,210,8.4
179,11,2001,2.3793103448275863
113,-43,2580,0.3488372093023256
52,14,170,0.023529411764705882
151,23,1330,0.2714285714285714
129,-57,1014,0.16666666666666666
105,-75,1272,0.4528301886792453
92,-30,2280,1.425
178,6,504,0.3888888888888889
182,16,3075,1.829268292682927
171,-7,1250,2.0
54,38,900,0.1111111111111111
94,-82,3813,0.44086021505376344
114,44,2655,1.3111111111111111
125,55,4510,1.490909090909091
74,-64,5916,0.7816091954022989
135,51,639,7.888888888888889
57,29,2948,1.5227272727272727
113,-41,5880,1.2
107,-59,4464,0.8611111111111112
60,-38,174,0.022988505747126436
115,59,735,0.30612244897959184
38,18,1488,2.5833333333333335
108,-6,6020,0.813953488372093
143,-5,4526,1.1774193548387097
151,-31,6396,1.0512820512820513
83,31,148,0.02702702702702703
90,44,1649,5.705882352941177
86,-10,2940,0.4166666666666667
55,3,943,0.5609756097560976
141,-33,4959,1.5263157894736843
170,-26,1620,0.2
87,-31,9009,0.9191919191919192
101,37,270,0.13333333333333333
188,2,5550,1.0135135135135136
102,-66,172,10.75
64,26,322,0.15217391304347827
91,-35,8712,0.8888888888888888
87,77,195,0.8666666666666667
61,-5,1254,2.590909090909091
79,-67,1704,0.3380281690140845
108,46,4418,2.0
137,-55,676,4.0
82,-2,369,0.21951219512195122
67,29,5508,0.8395061728395061
96,-6,3000,1.2
158,-38,180,0.8
69,15,9118,1.0319148936170213
144,12,1767,0.543859649122807
127,-27,209,1.7272727272727273
163,-33,3600,2.25
159,-1,3431,1.553191489361702
141,19,216,1.5
77,73,50,0.08
47,7,1785,1.457142857142857
131,-25,884,3.0588235294117645
104,50,7128,0.7272727272727273
124,-36,2079,0.35064935064935066
98,-60,3480,1.0344827586206897
102,-94,2356,0.6129032258064516
123,27,3774,1.4509803921568627
97,7,6364,0.8604651162790697
124,16,340,13.6
151,17,450,0.08
55,27,1320,0.6818181818181818
140,14,312,0.20512820512820512
173,7,5390,1.1
102,-86,3816,1.3584905660377358
65,15,70,17.5
118,0,1207,4.176470588235294
94,36,7350,0.7653061224489796
87,-75,848,3.3125
120,-6,225,0.36
41,13,8633,0.9175257731958762
48,40,8448,0.9166666666666666
119,11,450,4.5
95,-75,2304,0.25
87,-15,3417,1.3137254901960784
52,-32,1176,6.0
151,-1,1422,4.388888888888889
168,-22,300,8.333333333333334
65,49,828,2.5555555555555554
139,45,874,1.6521739130434783
151,43,3381,1.4081632653061225
65,-13,792,0.08080808080808081
55,19,4740,0.759493670886076
150,-40,3136,1.3061224489795917
68,-34,3610,0.4
157,-11,5307,0.7011494252873564
88,-48,285,0.031578947368421054
95,79,4968,1.7037037037037037
103,-93,162,2.0
146,-10,296,18.5
129,61,1780,4.45
137,-21,741,4.384615384615385
35,13,2052,2.814814814814815
67,31,2968,1.0566037735849056
172,6,8091,0.9354838709677419
106,72,2640,1.65
76,18,209,1.7272727272727273
36,-20,1856,2.206896551724138
84,-70,8928,0.96875
146,48,192,0.1875
93,9,1431,1.962962962962963
87,33,2407,2.8620689655172415
87,-39,640,0.15625
183,11,5141,0.5463917525773195
57,-39,6916,1.1973684210526316
149,37,369,0.21951219512195122
192,-2,2318,0.6229508196721312
145,-35,484,0.25
112,-52,64,16.0
146,10,689,0.24528301886792453
