A,B,C,D
22,5,43,84
39,49,70,22
38,2,2,71
64,97,15,27
38,87,14,57
74,10,75,99
85,19,38,57
35,5,93,73
25,37,97,56
77,17,3,74
90,26,97,69
9,39,64,46
36,30,76,29
30,75,48,76
98,79,7,13
30,27,8,50
97,88,91,88
6,31,61,62
36,61,51,76
79,54,12,96
27,92,17,34
86,72,22,4
41,58,87,54
91,74,96,4
53,35,26,93
62,56,92,39
55,18,7,10
54,91,66,90
30,47,81,51
47,57,97,55
60,42,38,1
67,40,31,61
95,56,84,70
5,43,3,57
59,97,83,24
70,74,78,67
23,46,76,82
74,43,98,98
29,47,9,21
73,76,4,1
21,49,59,75
51,48,23,98
87,93,90,56
65,15,95,63
92,25,28,64
89,99,73,2
83,22,65,12
55,90,1,68
34,87,55,53
49,42,8,40
20,94,46,62
46,96,43,63
74,31,63,60
67,17,32,33
40,32,60,15
60,24,83,19
31,49,71,89
19,20,63,73
65,83,80,67
52,38,43,14
35,63,29,43
67,43,98,10
38,30,69,59
64,98,98,81
8,26,86,57
29,37,38,15
30,20,67,62
28,47,8,69
88,55,21,11
47,56,65,38
55,66,38,33
16,2,7,93
86,88,18,41
49,19,8,61
70,43,60,18
20,33,95,2
56,97,31,38
98,63,75,36
11,14,15,20
87,88,18,84
8,54,16,89
66,88,63,95
17,40,30,63
79,6,74,88
40,61,44,80
15,2,69,68
25,16,88,78
86,52,92,22
89,71,8,41
20,53,81,14
57,99,37,74
5,27,64,88
24,65,47,15
53,84,98,17
44,83,84,23
54,83,75,77
32,76,98,66
60,39,61,30
94,38,47,43
47,37,97,85
80,1,64,91
89,28,70,40
13,79,3,37
85,72,77,86
92,74,20,99
58,40,84,27
45,74,14,27
27,36,92,79
14,20,34,31
86,63,2,45
32,17,79,43
6,82,74,91
7,5,77,70
34,42,22,71
79,15,47,99
58,1,32,64
64,67,49,62
80,99,27,81
85,95,85,74
80,96,4,74
29,43,16,21
11,96,47,76
57,5,41,88
11,18,9,92
69,83,11,62
21,51,13,91
90,29,78,67
63,69,39,2
6,13,53,93
97,6,63,24
81,47,80,31
56,61,28,87
65,50,81,46
61,65,74,62
89,33,48,18
98,51,11,41
15,70,98,29
26,53,89,47
41,35,48,50
43,51,90,98
93,62,29,81
93,11,10,10
37,23,81,1
38,18,50,55
44,15,84,12
29,83,16,43
22,34,39,20
84,22,69,9
53,25,4,60
67,70,15,37
61,98,23,87
60,58,71,51
24,89,42,74
17,47,24,41
21,8,1,1
16,52,25,78
65,56,2,31
8,11,59,55
88,60,62,58
10,44,88,78
85,40,28,23
91,59,77,1
98,57,30,62
65,55,32,19
43,55,34,50
82,17,58,95
21,54,83,23
26,19,27,78
62,38,38,66
18,92,73,17
42,3,85,21
33,33,79,50
41,53,71,20
14,69,53,52
77,66,63,60
34,6,13,92
57,3,64,91
50,46,65,76
90,22,98,72
33,76,54,37
23,71,63,50
92,66,86,27
54,37,97,25
96,87,94,56
75,71,63,72
40,93,39,74
33,44,48,88
11,29,78,31
67,33,67,85
29,37,87,79
21,34,84,75
87,82,72,78
36,27,79,71
15,75,52,27
29,77,45,2
83,79,13,38
81,46,66,2
88,70,3,44
69,90,69,14
49,65,23,47
78,12,51,24
14,96,19,97
87,42,64,56
4,62,76,52
38,6,77,72
23,38,98,69
57,99,63,82
47,82,93,87
87,78,38,63
83,32,65,14
76,22,62,75
84,43,41,97
92,43,93,11
10,44,62,6
53,49,37,97
20,57,65,85
75,40,49,67
94,33,65,62
85,33,41,35
9,26,6,20
68,46,41,46
25,79,40,53
19,18,4,98
42,5,23,10
40,70,70,68
66,34,92,5
90,93,79,12
8,87,81,58
94,8,82,45
97,3,11,97
24,48,94,96
53,20,97,89
1,52,29,16
63,30,16,99
17,98,36,40
64,7,23,29
8,3,20,45
13,54,9,94
98,61,88,1
15,59,66,36
90,20,92,80
67,66,89,94
32,34,61,27
13,9,70,98
89,35,34,16
68,69,28,29
59,67,44,81
81,15,76,11
96,63,18,23
90,7,4,62
58,26,51,79
5,37,55,22
30,76,62,38
23,98,52,38
53,5,63,23
62,90,4,97
24,60,77,94
74,86,76,96
59,57,83,41
37,41,26,49
16,14,94,5
79,43,65,5
29,52,39,21
14,90,15,63
21,81,87,30
14,35,88,20
70,85,3,8
32,97,68,76
43,20,39,28
88,36,97,57
11,89,1,91
20,37,28,5
96,6,20,3
93,79,94,98
74,45,69,21
30,74,97,4
11,32,49,36
56,50,66,59
95,40,32,83
42,55,32,51
13,48,80,88
79,4,68,72
20,19,56,27
52,99,81,5
77,35,23,23
67,47,11,38
72,59,12,84
87,18,95,71
9,84,52,91
34,71,57,62
67,16,98,73
97,35,86,5
37,9,31,39
99,77,84,84
70,33,20,66
13,58,66,82
25,19,9,97
28,98,64,84
79,99,32,31
35,88,79,12
73,17,81,10
11,97,25,57
68,67,75,69
71,61,56,88
90,26,45,26
13,86,1,87
25,79,96,62
19,63,22,39
7,13,37,23
45,58,95,43
21,76,39,87
71,67,77,77
5,58,47,80
48,96,23,52
52,35,91,95
78,44,56,76
31,12,42,9
83,23,6,24
14,66,79,1
87,89,79,29
93,2,10,59
20,82,53,86
52,9,62,12
40,60,68,30
26,73,14,35
52,50,1,98
22,86,1,87
62,93,47,2
90,65,78,49
90,2,35,68
75,48,61,6
70,26,29,73
28,72,22,76
96,56,93,50
16,6,4,60
45,17,13,6
68,47,17,3
77,6,2,83
48,56,24,79
27,77,53,7
11,10,33,33
36,31,60,21
16,81,7,24
26,46,33,52
36,83,47,59
11,63,98,24
65,96,13,68
24,62,55,5
23,67,41,98
25,7,17,98
9,91,3,36
19,94,23,16
85,10,79,86
53,13,29,11
25,24,53,92
40,34,34,55
42,77,90,22
15,3,19,87
43,22,59,79
93,69,40,3
98,91,66,99
17,47,42,42
46,90,47,65
67,27,36,59
33,61,58,13
2,47,60,58
25,33,85,72
13,21,16,60
65,6,44,69
60,78,99,22
17,88,91,69
86,62,19,21
42,14,34,49
13,46,72,44
9,33,32,83
59,59,29,71
26,11,93,83
49,21,89,37
85,28,56,91
86,74,55,67
91,63,25,22
85,6,49,91
43,63,70,8
88,41,43,14
98,28,61,75
32,86,84,25
53,77,29,80
12,40,35,57
62,25,10,76
1,63,88,21
55,21,89,17
34,67,46,26
69,6,18,91
91,52,43,64
83,60,74,95
13,18,23,52
71,88,54,16
14,10,67,70
80,41,98,71
33,46,59,89
60,71,81,19
62,67,1,65
39,58,90,91
74,95,85,95
91,34,10,17
13,98,68,18
67,62,19,21
45,33,99,23
71,10,59,68
96,80,28,24
32,67,85,14
6,10,8,7
50,40,26,27
63,6,30,97
81,84,58,54
80,89,33,99
25,87,8,64
59,5,86,33
57,59,31,10
54,19,42,5
89,68,50,42
86,93,36,90
32,27,56,75
94,7,14,34
6,71,19,58
68,86,35,30
51,11,77,50
1,60,11,9
50,27,39,86
96,99,32,16
43,50,20,24
52,57,88,98
75,87,59,86
17,87,9,56
83,61,62,33
52,22,29,47
75,14,94,21
65,51,60,90
69,51,52,4
39,49,79,1
34,13,49,94
29,87,32,94
16,39,87,31
55,57,72,65
27,26,57,99
75,29,98,27
76,42,60,33
89,43,11,69
19,64,4,20
5,6,35,2
53,40,56,66
61,6,41,94
37,11,81,48
99,13,27,71
78,18,68,86
25,57,50,20
82,48,16,69
23,29,41,6
48,47,82,14
52,8,93,20
63,16,70,56
49,57,96,94
18,96,76,61
78,24,41,69
11,74,32,50
88,25,17,31
81,93,66,62
48,88,19,32
82,12,43,99
32,49,5,15
67,44,47,53
54,23,7,78
4,12,52,49
13,56,93,68
36,42,28,28
43,12,57,35
39,97,70,83
75,70,63,14
42,52,50,63
32,72,63,93
59,31,67,37
83,62,57,45
77,69,23,69
47,3,18,47
4,31,82,82
57,87,3,77
79,54,6,18
69,98,36,99
27,94,10,80
36,31,9,5
88,75,38,34
70,98,22,12
14,32,81,70
58,21,23,90
72,32,24,53
60,62,51,97
13,65,40,9
82,68,16,11
29,92,82,15
7,88,33,38
44,12,31,16
62,15,43,22
2,74,40,86
65,76,47,24
7,71,15,25
31,23,57,77
79,65,87,61
82,46,2,68
33,58,14,91
27,4,85,58
93,19,59,51
73,25,17,20
80,35,45,10
75,38,10,27
83,33,48,15
90,84,30,73
92,81,49,34
26,30,61,42
91,66,54,31
80,14,81,49
71,85,10,1
86,6,97,67
31,20,6,15
63,76,40,24
7,28,23,15
8,45,77,23
91,60,1,22
86,59,51,75
22,68,39,90
75,94,8,58
83,25,29,46
97,41,17,71
81,90,25,3
64,24,56,88
94,60,70,59
25,29,69,43
51,49,32,72
60,17,20,36
77,19,44,97
96,96,92,30
54,62,52,30
28,45,93,73
15,49,46,44
73,79,81,3
1,57,24,17
99,51,25,91
88,57,44,91
32,16,30,45
64,23,60,49
9,55,25,67
29,63,19,97
55,81,41,72
52,93,65,50
34,38,48,11
8,64,41,91
48,23,62,69
40,72,21,34
35,13,47,8
78,14,47,20
21,15,96,21
51,28,8,80
92,12,64,36
88,68,27,58
76,40,21,78
32,33,57,76
7,43,93,34
70,41,85,39
76,33,81,10
73,45,44,51
92,76,37,4
9,80,74,65
9,53,84,43
44,44,80,52
17,85,28,5
14,82,35,26
32,28,97,46
61,61,45,13
31,73,13,84
78,60,45,90
25,10,88,26
48,64,14,71
59,74,31,87
66,18,76,38
12,5,82,28
68,22,12,31
88,87,51,40
39,40,97,12
22,83,65,59
37,57,84,71
1,45,25,73
3,86,20,11
74,23,70,68
27,3,27,88
88,48,57,52
91,10,77,37
69,44,40,67
14,59,62,56
82,12,43,82
11,20,74,51
32,77,8,50
92,21,64,30
53,14,55,82
14,31,18,29
29,4,26,14
27,45,9,81
62,55,4,79
28,78,96,76
30,6,61,55
75,48,9,36
12,57,3,51
79,29,11,70
43,48,62,14
37,67,72,75
62,21,43,14
65,46,44,99
86,19,50,83
22,72,57,93
1,23,48,81
7,59,87,19
74,35,94,70
19,15,25,54
37,95,95,84
83,59,83,15
34,81,59,64
27,3,30,80
35,45,58,36
12,81,15,12
54,15,20,94
94,20,97,21
21,37,83,97
18,98,10,42
13,44,62,62
86,99,19,42
22,5,2,70
64,39,9,44
37,75,37,61
80,23,9,58
23,23,63,59
40,50,77,60
27,37,90,73
47,73,8,46
12,16,88,75
92,15,28,62
30,12,92,52
45,62,40,25
57,6,38,84
61,58,95,61
18,65,95,57
93,18,72,18
93,85,33,47
58,84,61,31
33,34,57,17
14,5,23,68
57,17,49,77
78,92,12,24
3,8,11,50
25,62,99,44
59,97,40,64
96,3,25,63
90,32,53,36
87,25,11,3
16,40,89,53
71,40,11,62
83,72,76,45
44,84,3,87
62,25,94,83
83,89,16,55
75,53,43,68
10,75,94,80
97,61,62,88
84,42,77,1
35,50,68,31
85,30,30,24
87,71,40,53
48,21,68,24
61,42,88,92
88,22,35,99
17,69,81,38
5,79,81,99
30,16,57,59
79,4,78,82
20,68,24,58
27,97,58,75
43,92,79,99
27,48,93,15
81,76,77,44
77,87,46,21
61,51,20,14
78,12,90,83
74,71,54,19
57,92,67,74
12,65,58,78
79,59,24,26
94,97,66,50
98,45,92,73
95,30,12,87
17,94,82,33
35,35,14,70
63,96,64,49
72,69,87,28
98,84,87,34
46,58,95,19
92,87,22,81
34,50,22,35
44,71,32,14
88,49,61,63
84,71,19,12
76,14,68,35
56,28,48,10
17,79,53,80
49,78,32,44
8,89,12,39
89,70,94,75
27,64,2,3
60,21,36,4
7,78,80,77
68,28,49,8
95,97,4,90
36,51,16,73
81,35,45,11
4,7,22,30
37,74,46,50
98,38,28,98
68,56,98,77
3,4,20,82
46,39,64,49
28,82,4,21
37,23,21,74
49,21,82,40
31,79,61,82
45,30,42,56
91,42,86,96
91,42,75,86
70,32,90,14
9,82,82,44
2,81,7,66
68,41,88,95
79,76,97,50
53,44,71,58
25,28,68,10
25,35,16,12
54,88,65,83
74,44,81,72
7,40,67,62
77,69,28,38
93,95,88,29
74,76,89,13
19,84,83,46
4,48,20,29
57,50,56,45
68,89,11,71
41,41,12,43
40,41,2,72
28,39,49,41
85,21,68,4
17,93,59,10
71,41,94,91
2,2,28,35
79,83,20,27
24,81,98,36
79,53,47,42
90,76,30,58
75,97,38,2
11,68,48,8
26,98,31,62
67,33,47,64
12,64,44,99
74,67,35,64
6,42,15,43
8,20,91,59
71,12,6,56
62,43,62,40
45,51,94,71
25,89,68,84
99,51,19,42
96,34,63,58
49,16,90,47
75,3,63,61
56,13,41,47
30,83,83,22
62,5,39,60
55,14,29,17
8,20,18,55
86,52,16,32
27,12,10,2
97,37,76,87
66,62,23,39
3,48,19,80
28,59,45,7
40,56,32,2
67,67,53,83
6,12,17,97
21,31,84,12
92,65,79,77
79,55,22,88
10,24,28,23
31,48,50,16
56,19,8,78
68,21,44,78
48,63,61,94
35,26,59,12
35,64,24,67
51,50,3,71
14,85,40,51
76,49,61,40
7,53,26,64
53,57,97,54
27,99,25,38
52,24,27,43
59,57,56,8
95,45,71,37
70,30,48,42
70,69,1,80
41,43,1,48
35,30,74,75
75,1,19,71
58,93,95,76
65,98,95,22
59,30,70,53
86,69,70,14
62,73,85,34
82,16,27,54
76,91,85,75
3,96,82,36
63,71,99,41
39,67,60,1
95,47,78,5
58,84,8,42
76,15,12,16
93,49,19,12
61,69,55,25
38,18,17,79
84,10,16,6
54,6,88,70
65,35,16,18
46,51,85,55
80,60,4,40
71,54,46,85
25,45,73,75
81,97,50,83
76,62,70,10
55,24,64,29
30,42,36,99
95,87,47,43
31,17,27,67
64,70,74,35
10,33,44,72
5,39,60,34
8,24,84,34
41,42,57,60
82,70,34,2
88,82,65,49
54,13,74,19
51,57,56,42
11,45,9,53
99,78,75,83
71,7,18,58
59,16,19,62
25,42,2,51
21,47,62,28
95,23,88,61
74,82,40,29
79,54,57,46
81,79,83,89
91,43,10,29
1,97,93,81
52,25,10,41
82,5,4,30
93,17,38,22
46,52,21,15
45,2,19,3
1,23,8,76
12,55,78,20
2,7,78,86
94,21,80,60
8,88,54,67
20,29,79,28
43,65,42,60
23,47,4,56
29,98,45,95
15,36,29,33
27,76,35,28
71,96,94,88
55,42,89,59
53,27,91,43
71,78,25,74
17,77,3,53
58,72,12,88
90,14,42,34
51,83,51,34
99,36,44,41
69,53,33,65
50,17,9,26
30,54,90,19
98,33,12,43
91,41,66,70
69,51,28,44
28,14,69,48
27,16,61,53
92,43,42,33
35,24,35,66
58,78,82,57
3,33,49,39
55,17,21,19
87,88,50,52
82,38,55,89
93,32,90,4
20,83,69,67
45,67,50,46
52,87,13,35
98,86,69,25
82,73,73,51
34,79,87,2
68,2,62,65
56,5,26,74
28,76,42,51
4,63,79,63
18,66,50,47
98,82,92,42
56,44,57,91
75,77,11,17
22,68,67,7
2,9,52,64
68,73,81,57
66,16,57,59
24,60,88,53
48,2,31,15
63,2,42,31
96,70,15,57
23,72,24,54
31,6,98,72
58,60,64,82
41,99,60,10
86,37,23,34
54,35,19,35
26,10,9,71
78,30,70,72
17,42,51,93
19,65,97,82
60,15,33,7
10,21,59,72
93,92,26,66
59,97,46,67
35,95,73,31
83,54,42,71
18,60,71,78
97,34,96,52
17,54,5,1
54,10,52,77
