A,B,C,D
55,73,26,97
62,28,22,14
25,38,2,33
23,16,48,89
91,86,54,61
8,7,87,80
67,33,69,55
15,64,82,61
93,43,27,13
82,57,8,11
64,91,69,43
19,69,52,93
91,15,40,58
5,17,5,7
46,17,19,25
32,33,42,28
34,41,36,33
80,21,90,33
55,35,1,40
72,92,32,18
25,31,2,53
56,95,7,39
26,88,7,41
91,98,40,21
45,80,12,84
78,9,33,35
15,76,75,7
33,43,59,79
9,55,59,28
14,42,41,43
3,11,28,67
64,1,93,31
19,56,51,91
32,55,54,47
3,12,4,60
45,18,86,74
82,92,73,94
24,85,13,22
76,28,46,9
66,33,65,99
52,75,94,33
78,26,46,39
19,76,34,47
84,15,76,8
58,56,96,10
97,80,60,30
90,53,82,32
61,30,45,28
46,56,5,1
67,14,34,49
89,34,39,19
39,86,98,93
57,12,32,69
52,6,42,59
12,61,52,65
17,52,87,85
46,14,19,42
66,89,34,5
17,17,60,31
24,99,71,42
23,67,20,97
61,54,43,14
93,28,48,10
44,45,49,55
72,56,6,82
82,51,42,16
40,93,27,37
13,78,23,52
85,11,19,52
86,68,12,93
61,11,99,23
1,26,41,8
25,30,80,71
42,32,92,39
39,28,21,82
20,69,4,5
75,15,60,37
76,94,82,72
84,38,92,61
64,56,56,61
48,71,72,53
38,51,58,34
3,42,1,39
57,51,44,36
7,65,9,76
89,14,48,55
13,47,29,51
80,39,26,84
73,29,66,80
90,59,64,7
49,48,1,91
93,69,58,32
38,25,76,89
30,3,13,27
72,7,82,13
10,50,81,25
22,29,44,45
76,21,19,90
31,19,8,31
38,5,8,62
83,28,72,38
71,22,23,14
98,10,93,92
93,78,98,61
89,94,57,59
33,76,95,73
99,49,93,15
87,87,12,80
68,78,72,25
35,28,71,28
94,99,86,59
77,62,85,34
6,30,65,14
53,6,47,98
12,28,79,73
89,46,75,62
32,4,69,74
39,44,52,96
90,56,45,47
93,64,54,45
72,29,42,9
95,39,38,1
22,36,54,14
36,21,38,65
38,26,82,84
16,63,71,50
13,53,83,11
63,59,78,66
65,38,88,43
15,58,99,94
17,4,64,37
24,20,22,22
74,6,43,10
10,59,25,96
29,87,53,6
69,90,6,28
92,10,39,77
38,79,1,72
73,15,9,42
83,39,25,3
19,75,80,84
33,5,78,6
88,49,71,57
2,17,87,72
4,91,82,10
12,45,99,69
23,68,3,95
97,20,39,81
14,41,99,46
56,80,91,62
68,98,3,86
45,14,73,47
12,1,1,90
69,61,59,21
50,27,72,22
41,25,57,76
11,21,88,75
60,93,73,24
23,97,90,35
48,11,22,50
57,13,32,92
60,17,6,9
49,28,30,4
47,91,72,84
50,80,71,59
27,32,65,96
89,55,83,75
4,82,9,50
82,65,26,93
75,37,36,53
19,4,16,45
49,36,50,94
49,58,87,83
21,46,15,51
27,44,26,51
90,32,30,72
97,58,49,13
35,56,22,78
90,10,59,25
40,28,68,91
41,17,50,63
82,54,29,57
84,91,99,3
23,56,28,88
37,23,49,30
10,20,72,87
98,37,3,84
56,87,2,64
93,81,13,45
90,60,89,26
30,53,52,5
25,96,45,80
58,36,86,23
48,3,5,64
15,98,61,84
97,53,49,97
69,58,7,36
29,37,52,78
66,92,17,27
42,60,34,8
27,29,74,90
84,70,16,99
93,16,63,82
53,32,69,30
18,48,66,50
49,57,31,75
17,52,91,29
62,11,1,45
39,43,63,50
32,3,48,1
35,1,47,49
79,85,77,66
1,45,20,88
7,37,2,64
93,3,9,67
88,17,95,34
92,50,5,53
56,49,49,65
45,73,67,62
40,35,41,66
48,3,94,24
40,4,4,2
69,39,12,29
13,96,5,92
63,33,29,81
53,65,21,71
51,65,4,21
47,64,9,85
66,48,5,13
14,4,30,74
4,59,65,95
60,6,54,87
2,61,63,97
48,51,45,3
35,35,25,39
20,92,95,51
18,14,43,30
43,19,56,54
21,19,63,47
67,33,42,53
81,7,72,98
60,74,19,23
70,4,64,47
88,50,61,20
92,50,9,47
87,27,81,85
25,3,45,7
4,77,99,59
68,73,75,48
24,35,23,2
22,85,70,53
53,15,46,69
37,25,73,14
70,37,14,44
41,15,38,33
3,37,53,90
30,52,30,26
47,29,99,40
8,19,91,10
35,57,19,34
18,47,53,1
5,52,31,27
80,77,3,42
75,43,91,14
4,85,38,82
41,75,35,2
99,66,10,74
64,75,80,88
20,12,95,90
99,68,60,89
15,5,57,34
36,49,80,10
72,71,11,92
65,6,82,71
73,91,67,20
57,42,54,9
48,14,99,86
86,56,28,70
25,57,42,90
50,23,42,52
5,83,42,30
52,71,33,35
26,66,9,47
64,84,97,12
62,30,63,36
4,65,32,86
