A,B,C,D
74,25,27,84
24,83,96,79
42,45,78,84
55,28,15,87
24,48,73,73
71,74,23,89
65,38,62,33
21,19,98,70
57,74,98,68
67,22,29,80
2,79,74,55
92,85,81,39
72,3,80,26
24,23,19,40
21,76,56,93
85,63,29,40
68,48,97,34
76,59,90,67
35,93,4,18
4,86,19,37
5,38,58,99
18,65,55,64
20,21,80,6
29,59,16,53
33,41,88,67
13,18,11,68
19,40,81,36
30,57,11,42
10,45,15,25
24,78,14,32
46,4,32,53
54,7,79,63
48,59,27,18
8,84,12,11
39,94,74,7
98,34,45,77
21,15,40,98
86,48,78,10
34,85,1,90
42,70,39,42
79,3,90,87
35,63,91,8
15,87,8,60
53,33,75,17
47,80,92,3
36,91,10,48
52,65,82,25
51,26,6,66
59,90,63,66
2,60,55,48
56,46,55,90
11,5,50,49
60,8,42,81
8,64,41,62
27,77,49,58
62,1,35,10
26,64,92,65
68,68,76,3
75,88,53,62
82,96,58,61
75,24,97,53
65,9,73,37
24,45,81,17
28,29,38,88
24,63,66,72
46,51,2,3
34,37,22,62
39,94,77,94
57,99,80,93
62,28,18,5
22,7,16,41
25,75,70,38
11,22,1,69
69,45,67,83
18,10,84,58
11,17,23,62
75,30,96,73
93,22,17,52
2,59,92,85
56,39,95,65
47,48,24,1
1,14,76,40
47,18,93,26
74,42,67,54
12,98,68,56
69,61,47,65
29,59,28,35
52,80,32,78
29,30,68,43
49,49,61,70
76,33,2,23
29,48,69,33
62,45,85,44
38,60,84,20
40,42,80,61
41,98,80,59
26,29,4,50
86,61,88,63
35,33,21,66
30,70,27,90
48,7,28,63
67,36,62,55
49,76,33,19
44,13,85,16
54,75,61,14
68,63,65,94
14,61,50,60
43,26,51,1
93,22,47,18
90,41,47,28
74,58,37,26
39,22,78,1
38,25,58,19
94,66,23,93
37,46,72,13
82,72,10,69
22,21,55,88
2,41,81,10
53,15,71,59
13,62,98,57
22,56,11,84
14,60,54,51
43,12,98,42
89,54,38,92
63,35,41,33
88,24,50,14
30,27,15,57
3,40,7,87
20,16,4,21
73,28,6,60
30,91,88,64
14,91,23,72
56,51,90,15
42,43,13,56
19,7,56,59
91,17,48,11
61,3,29,77
36,64,35,96
4,90,71,79
62,58,32,49
23,68,39,58
60,10,68,42
78,71,65,76
26,18,19,8
65,70,43,86
40,44,20,22
1,21,15,75
7,28,81,25
74,21,6,77
70,87,85,35
76,38,94,45
58,45,67,25
24,27,1,52
15,23,29,24
5,85,11,35
24,74,79,48
39,35,31,10
23,56,63,52
42,46,31,28
50,49,28,61
86,86,71,58
62,81,59,94
31,14,20,76
92,88,72,63
94,54,76,21
35,20,5,52
44,82,88,39
9,98,62,96
14,30,39,74
76,9,47,88
62,3,8,11
92,33,80,12
41,85,33,23
24,91,74,88
13,92,37,61
26,25,36,95
68,57,46,45
14,17,53,5
69,37,20,19
18,27,36,1
82,32,99,87
24,1,83,28
36,36,23,24
6,38,71,92
11,37,49,69
29,25,26,49
99,10,47,74
80,50,61,72
43,22,13,66
13,87,40,76
96,72,11,52
91,20,17,21
52,34,60,49
45,55,96,49
75,6,97,46
9,84,89,59
6,30,61,34
60,88,34,28
54,45,83,12
72,64,10,47
91,30,6,37
71,53,24,53
18,89,88,15
71,28,18,20
41,66,74,98
47,77,67,77
96,25,14,56
5,57,27,68
76,1,49,75
13,81,77,75
73,60,19,7
17,6,54,3
32,17,36,33
98,70,70,53
30,91,62,50
80,11,61,93
38,69,41,38
57,49,38,4
87,61,28,68
87,62,38,87
9,27,16,35
47,89,20,80
97,70,95,87
5,1,43,34
85,23,33,28
5,63,31,23
54,38,26,84
19,77,37,47
79,83,8,89
34,92,2,49
60,7,45,48
3,30,42,50
14,29,67,25
3,89,75,12
39,13,84,39
55,58,3,84
40,27,42,82
21,53,97,78
56,13,48,20
31,9,85,75
75,97,63,6
60,19,88,52
6,87,94,19
82,52,49,71
3,99,1,73
26,89,73,45
94,55,89,2
23,63,50,74
68,99,39,10
36,91,17,61
3,62,1,94
71,30,22,83
80,12,20,60
82,17,5,88
82,21,65,98
44,16,47,83
63,87,16,86
11,24,1,98
94,87,87,10
21,39,5,26
18,12,69,61
38,31,45,73
31,44,35,10
37,88,90,83
28,81,55,87
90,40,65,47
31,72,40,71
68,92,35,93
35,11,35,25
49,58,14,31
25,22,34,80
31,16,31,36
82,42,57,74
97,26,8,53
49,74,19,59
51,90,20,51
63,9,58,66
20,70,93,53
34,80,12,40
87,75,45,59
4,69,28,29
30,68,24,79
15,62,72,7
33,55,30,78
44,74,65,51
4,40,44,84
37,98,9,92
58,46,57,7
44,41,55,96
29,43,83,79
72,73,43,65
35,99,88,77
33,25,23,93
89,75,34,51
5,99,61,49
54,51,44,28
27,71,19,96
1,53,66,2
3,85,11,88
16,9,71,40
50,19,13,45
17,24,82,20
84,72,57,92
58,40,21,16
90,28,9,51
28,17,87,18
68,24,5,61
42,73,92,93
64,51,99,76
20,12,93,45
57,17,9,65
40,70,24,77
88,40,76,82
6,54,42,60
77,99,40,30
48,49,72,2
45,89,5,13
74,9,72,72
9,53,98,35
14,62,37,16
43,41,43,8
97,87,46,54
77,58,19,32
45,37,79,65
14,72,59,77
44,85,12,48
97,24,56,16
20,13,85,53
73,18,78,99
4,46,32,58
88,59,59,92
28,3,97,20
52,32,73,48
97,42,81,79
56,10,5,49
2,61,73,46
16,3,40,41
56,52,11,27
18,40,83,83
80,59,14,94
32,96,67,16
16,46,84,69
76,25,91,51
48,79,3,23
4,27,5,94
32,60,10,82
61,20,50,88
23,15,24,96
25,9,65,12
63,75,89,89
84,6,38,23
2,93,32,23
34,75,90,52
28,30,63,38
50,6,63,11
39,17,51,63
51,36,76,17
19,11,29,75
18,55,70,65
6,71,68,8
33,60,11,64
4,68,45,98
66,50,17,87
75,21,2,64
27,82,85,98
13,37,86,18
22,6,94,99
90,76,21,91
20,3,2,23
81,7,32,14
20,27,57,23
70,12,95,69
56,42,72,96
86,65,67,75
53,82,64,64
11,16,23,30
84,68,59,19
17,23,35,12
79,22,97,20
11,14,30,23
89,48,85,25
76,27,31,24
35,3,84,80
77,77,83,98
25,44,80,91
99,43,13,61
82,40,34,52
54,20,32,11
78,49,2,38
78,55,24,7
54,94,11,5
89,41,29,26
67,89,47,90
94,27,14,7
80,8,13,84
52,61,40,66
50,95,37,98
57,93,13,44
39,31,41,80
78,57,92,19
33,97,46,18
82,38,47,66
30,4,26,23
40,80,36,49
54,12,20,21
66,97,42,15
33,55,98,94
80,86,24,32
7,75,99,48
78,40,87,69
71,1,20,40
18,61,8,58
62,52,19,20
96,66,53,82
23,86,80,51
35,97,82,3
31,54,2,98
64,41,65,69
94,19,21,34
71,79,36,52
69,7,56,88
57,88,69,26
15,71,41,37
44,10,30,27
90,91,87,40
37,22,59,27
59,54,39,83
53,75,68,11
78,31,70,54
91,90,33,57
96,13,57,81
53,96,99,41
87,35,45,30
37,21,57,59
68,46,25,68
72,42,36,13
62,73,10,66
43,40,32,43
50,63,69,85
61,57,19,43
78,32,61,96
37,26,17,80
5,44,54,83
68,89,6,44
10,91,68,7
53,68,75,27
88,3,41,89
67,79,43,65
29,1,57,99
5,59,41,41
43,56,84,83
75,10,32,87
30,62,64,93
51,50,17,79
26,67,28,48
11,64,28,24
9,22,12,38
55,60,69,15
72,88,22,8
74,92,50,34
89,69,5,71
95,8,13,44
44,97,30,3
96,13,43,47
52,54,91,43
9,83,18,13
31,18,43,28
75,56,21,62
