A,B,C,D
92,97,46,85
38,48,45,70
71,25,62,48
86,36,83,68
63,22,63,55
81,64,5,61
97,58,16,94
37,8,42,82
73,57,60,43
96,66,77,30
30,97,24,32
66,67,58,85
58,42,29,71
47,26,80,1
31,36,5,21
72,64,32,28
84,45,24,81
62,52,13,88
51,32,33,86
21,93,39,88
25,77,13,50
32,72,59,54
14,16,5,29
50,6,30,15
90,89,79,5
73,74,44,63
66,1,97,16
46,44,77,92
82,4,57,49
91,51,96,28
29,38,85,54
92,84,31,79
58,57,91,67
35,20,25,12
6,94,40,70
89,19,17,36
86,62,75,50
18,32,42,40
63,66,95,15
44,91,61,38
42,74,64,82
80,84,57,41
69,51,18,46
91,12,26,27
70,17,96,18
44,56,46,56
13,48,66,83
35,41,85,45
20,13,27,79
65,45,83,51
73,58,69,2
81,54,45,11
63,13,22,61
3,40,22,23
52,21,70,34
24,25,65,25
86,58,44,28
39,65,64,6
19,13,62,19
55,67,10,50
29,72,67,11
17,6,94,93
39,60,9,77
29,23,11,44
63,4,2,33
17,7,31,42
87,22,95,64
31,36,58,72
69,55,56,88
45,12,93,9
95,2,1,32
54,92,21,10
17,35,33,92
6,98,32,23
35,5,84,76
32,94,87,85
33,22,16,60
82,75,16,51
57,91,58,66
23,63,73,80
15,27,78,60
53,99,5,73
64,47,36,10
54,59,58,38
18,66,46,92
83,12,1,84
55,28,10,38
35,93,85,54
21,28,50,37
97,65,59,41
37,29,79,19
71,5,73,29
16,50,45,79
50,45,26,53
99,57,74,85
5,79,15,45
52,4,20,3
96,24,58,61
61,86,77,18
97,21,40,72
2,50,44,87
1,91,50,49
62,12,91,37
38,85,17,54
59,98,61,68
16,4,5,3
76,37,99,34
57,35,46,23
58,10,10,2
27,13,25,14
49,29,73,54
9,17,21,89
62,91,33,35
81,91,73,65
19,2,90,98
64,35,3,14
76,12,38,47
22,68,25,64
89,31,44,79
69,15,79,97
15,58,88,11
65,98,11,27
45,64,23,35
79,85,98,24
18,55,12,39
85,55,73,60
87,43,18,46
86,36,70,64
66,30,28,60
40,67,37,45
29,28,89,41
87,67,80,38
12,67,65,47
46,12,22,16
44,11,95,57
64,39,80,64
55,56,51,73
69,33,1,83
82,70,68,29
93,76,82,17
76,48,87,41
11,51,5,72
65,90,94,79
19,33,4,50
91,10,28,62
56,77,35,5
93,76,10,82
79,3,3,4
35,60,56,79
9,43,11,85
68,24,24,59
57,96,32,29
77,75,66,80
58,24,4,7
91,83,3,17
90,31,24,43
77,9,96,95
82,83,96,82
46,75,45,65
4,12,56,14
6,27,14,34
82,36,41,52
52,57,84,75
41,70,90,47
8,17,37,90
55,83,45,41
62,67,64,60
71,85,97,69
5,38,1,88
92,10,65,9
99,94,13,92
2,37,84,71
21,21,93,97
48,57,17,60
62,16,30,1
66,21,3,6
52,74,87,69
38,31,92,31
32,78,86,70
35,78,57,59
53,48,95,45
37,22,15,1
45,62,3,99
29,49,85,50
4,34,11,46
56,80,46,37
54,77,55,51
2,50,5,97
75,12,33,85
3,38,90,3
57,59,17,18
15,49,70,12
47,21,3,28
43,79,8,74
13,95,69,86
33,71,32,87
77,78,66,62
15,6,93,1
96,23,96,77
52,46,92,72
48,81,5,69
7,78,65,80
72,30,7,20
85,54,84,54
68,8,84,64
85,35,38,29
95,18,26,89
98,80,8,64
95,1,88,26
47,90,14,25
82,28,15,6
36,59,98,74
18,31,56,49
75,76,8,66
65,61,28,88
11,2,93,66
29,73,85,10
20,46,65,63
44,33,60,41
70,41,89,54
58,38,27,74
83,43,79,37
16,59,52,84
20,45,36,18
36,83,66,59
94,37,80,76
21,15,13,67
38,4,65,70
93,39,11,63
82,65,71,35
7,4,34,40
75,26,27,90
47,59,18,70
76,16,73,84
72,70,2,79
37,39,75,52
37,18,18,22
25,56,22,5
12,25,43,40
3,32,16,24
30,68,21,89
36,35,90,17
18,25,40,3
81,9,68,79
32,80,41,31
63,70,16,90
62,36,81,18
36,42,14,62
92,66,88,85
73,99,80,29
78,77,61,80
53,20,57,38
60,75,36,40
31,38,59,23
70,91,75,6
2,19,50,25
36,47,9,12
14,15,12,55
7,2,21,68
15,49,90,76
4,86,35,88
69,84,36,48
98,60,55,51
34,6,38,31
38,63,58,5
73,95,35,57
58,94,4,59
82,8,61,17
23,96,22,59
27,64,37,39
25,17,82,11
60,83,89,17
83,17,90,75
50,89,75,15
89,64,79,1
21,36,43,61
79,87,12,55
40,67,92,70
4,25,37,87
46,40,34,84
90,65,75,24
58,53,29,31
24,8,39,80
55,57,79,60
12,19,24,38
4,15,3,78
26,14,45,58
52,52,56,3
90,77,87,82
76,79,98,80
62,27,81,87
14,28,97,65
46,59,46,49
78,83,2,44
25,27,55,56
21,88,58,9
86,38,28,64
74,26,94,64
24,46,92,6
30,68,25,20
56,53,89,41
57,15,30,98
70,5,3,23
93,73,20,37
50,22,84,40
3,81,29,49
89,10,25,62
20,57,63,44
53,90,47,78
33,4,60,86
4,44,88,92
13,16,43,19
46,91,75,27
77,3,9,70
92,35,16,31
5,48,90,9
71,6,36,13
89,40,32,97
80,3,92,49
50,41,2,40
67,81,49,84
22,29,63,62
81,20,79,38
18,36,85,42
9,15,91,7
34,99,90,69
78,77,52,20
42,86,79,57
71,55,8,43
73,58,21,18
22,96,71,15
81,37,71,9
84,38,10,57
34,62,39,45
74,59,62,70
98,63,97,12
10,46,36,78
45,14,60,38
72,84,44,47
15,54,9,88
48,42,11,44
92,3,16,57
91,2,46,68
20,36,81,24
53,87,88,78
70,16,8,98
69,40,70,48
58,89,3,67
83,16,68,58
40,35,43,49
47,63,65,93
76,20,20,22
27,44,67,82
22,16,80,87
39,29,57,87
37,83,32,40
54,28,90,79
10,86,35,45
95,11,64,31
62,18,70,82
47,96,40,73
59,64,61,89
3,1,14,93
83,94,11,51
88,10,25,54
84,69,41,96
9,23,39,41
2,21,47,4
7,25,87,96
81,24,67,28
19,38,99,95
98,70,41,79
93,9,29,18
50,46,63,41
1,54,74,2
15,25,60,91
8,56,30,19
55,78,32,75
47,6,78,62
28,39,79,12
33,5,11,3
79,16,1,25
72,16,88,88
32,19,7,11
74,21,68,49
56,80,58,88
11,6,22,60
42,93,75,31
15,6,95,72
59,73,45,90
75,64,90,27
92,17,85,68
71,48,37,8
88,48,64,56
18,95,25,84
71,82,37,12
74,95,7,49
27,33,86,64
8,39,94,62
82,35,33,75
43,32,96,60
75,60,39,7
48,98,83,49
23,42,62,15
49,1,26,10
6,55,41,6
54,54,77,40
51,37,19,69
74,52,47,14
71,41,74,20
77,34,70,57
57,12,90,99
33,36,90,89
17,45,2,93
6,84,4,76
90,83,50,20
2,74,74,92
72,48,42,87
74,25,9,17
22,66,83,99
9,14,55,45
39,30,25,94
97,85,55,82
89,98,58,78
98,11,13,93
76,93,28,99
7,96,51,25
27,35,76,87
61,73,65,14
17,3,58,23
69,3,46,18
2,54,41,67
83,61,44,42
5,94,13,83
59,84,10,85
13,64,51,91
42,9,17,63
40,31,33,82
39,89,62,67
57,29,88,58
33,98,17,53
63,25,96,95
92,91,5,15
86,19,93,57
59,71,83,28
84,72,88,56
54,96,87,16
59,89,68,5
15,9,27,96
84,29,35,98
71,40,23,48
29,64,69,47
26,28,89,83
48,24,6,85
59,38,29,72
11,5,27,35
98,92,83,10
90,49,34,27
93,30,18,88
32,60,15,34
46,84,76,42
16,72,53,11
83,64,96,25
8,28,35,9
83,28,83,22
4,78,3,28
33,91,9,2
66,27,65,36
53,85,69,21
24,57,32,87
98,41,13,73
98,62,56,67
79,87,59,89
6,13,10,86
55,1,65,63
51,34,39,12
83,93,17,4
80,71,76,22
97,35,43,31
10,88,70,40
24,63,41,69
75,56,91,55
70,71,54,49
91,87,36,97
29,63,48,31
63,77,61,70
35,55,89,70
76,93,91,4
18,34,96,81
50,37,65,77
56,5,12,76
93,8,4,88
76,61,52,1
71,6,97,59
54,21,87,92
38,28,68,21
92,82,90,16
46,28,85,18
82,79,96,69
94,81,96,51
49,47,98,96
61,28,11,3
9,48,20,55
28,61,58,12
89,17,97,52
31,42,70,33
7,91,75,5
54,63,10,34
17,90,91,30
95,73,73,81
67,99,41,63
64,57,61,57
3,71,19,53
12,48,74,37
50,51,97,30
94,73,21,67
87,82,96,88
26,3,81,54
43,43,76,79
23,10,27,89
99,96,62,9
19,62,94,13
90,90,4,5
81,71,27,38
67,43,11,24
19,49,33,98
99,41,60,40
79,70,46,29
55,21,23,26
80,38,73,33
6,51,78,81
53,15,63,26
29,64,6,93
42,8,99,43
52,58,64,44
91,36,38,30
28,76,65,51
46,26,4,36
88,22,78,15
47,97,55,68
84,32,31,63
27,76,93,89
55,23,13,51
43,38,63,16
12,90,65,57
41,14,26,11
6,86,47,41
73,20,58,24
59,57,70,68
4,69,74,75
95,53,67,32
24,5,6,55
7,41,64,51
98,96,26,79
30,62,8,59
37,67,37,72
77,34,60,30
37,31,89,70
18,53,34,94
27,10,12,15
63,78,21,65
31,49,11,97
23,86,67,66
79,72,6,39
60,15,63,51
52,46,29,4
19,65,16,60
83,48,96,74
98,15,80,90
78,36,48,61
29,43,57,96
52,95,8,35
79,68,19,79
22,94,24,82
68,48,14,14
85,58,59,26
9,35,4,37
92,55,16,62
49,14,85,77
91,12,56,41
57,35,12,48
77,11,35,74
95,96,63,69
31,60,6,58
80,4,17,12
73,49,81,65
4,62,75,99
78,36,27,51
70,94,72,40
82,19,88,32
2,62,22,13
10,57,81,51
71,18,94,18
43,15,15,26
47,82,79,63
66,5,18,24
93,52,16,62
85,97,75,16
57,18,20,17
23,15,32,50
88,35,87,54
79,62,22,13
66,17,97,24
87,37,92,73
37,62,92,26
80,81,86,50
38,67,36,71
69,13,89,42
29,49,58,55
96,9,93,13
95,78,65,88
40,4,78,34
48,95,92,11
56,7,67,21
83,98,56,36
36,20,19,25
23,87,6,48
2,4,84,19
84,48,87,18
64,92,34,5
64,21,51,67
28,98,24,22
2,76,75,48
58,66,68,54
42,4,65,50
51,18,62,59
24,29,98,81
24,74,56,76
10,15,91,63
15,8,95,4
51,10,69,81
1,70,8,86
26,6,88,64
57,90,34,35
88,58,72,95
66,22,46,55
13,37,19,64
67,40,24,18
40,95,53,70
66,16,99,69
40,83,17,84
69,3,99,57
10,13,64,83
41,45,58,57
23,82,62,97
70,77,57,33
79,71,57,84
36,30,52,86
